,train_volatility_class,test_volatility_class,train_volatility,test_volatility
BTC,"['normal', 'normal', 'low', 'low', 'low']","['low', 'low', 'low', 'low', 'low']","[0.003937952613641723, 0.0035426711257982133, 0.002747296569344745, 0.002308091799316278, 0.0022726578160317816]","[0.002492905614967053, 0.002649510943098774, 0.0017818588398830079, 0.002386603665113564, 0.0013268870065385634]"
ETH,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'low', 'normal', 'low']","[0.005623879798272706, 0.005135505139131071, 0.004454377927611344, 0.0038286425361616565, 0.0038446068983647853]","[0.003996610145426769, 0.004718180962319089, 0.0027711365007391134, 0.004044503232036154, 0.0018966349654398799]"
BNB,"['normal', 'normal', 'low', 'low', 'low']","['low', 'low', 'low', 'low', 'low']","[0.003679831161083359, 0.003228099021174101, 0.002481484113761491, 0.002249823180658501, 0.0024586545376813376]","[0.0022285418568678884, 0.0024300008439760803, 0.002090926841131535, 0.0028550359279363967, 0.0017402111373715646]"
XRP,"['normal', 'normal', 'normal', 'low', 'normal']","['low', 'normal', 'low', 'normal', 'low']","[0.005680816802433562, 0.004593421545935514, 0.003342871395598005, 0.003042660608611258, 0.00384851299088877]","[0.002720529603334353, 0.0034400708273085584, 0.0029673813951908634, 0.00513808675016689, 0.002403075539800368]"
ADA,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.008207352015135396, 0.006869010508930155, 0.004636543747861054, 0.0038857558033291166, 0.004287411168309591]","[0.0038937903856280705, 0.0043736006772568765, 0.0033898763471024054, 0.005098756480569492, 0.003221122380263682]"
DOGE,"['high', 'high', 'high', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'low']","[0.008104482358389398, 0.007306322433399211, 0.005839660395493472, 0.004686538441610993, 0.0050256876300899325]","[0.00507453614648132, 0.004073826540598474, 0.004911252637753186, 0.006091983711918134, 0.002863572371486423]"
MATIC,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","[0.005699535473875394, 0.0047406873081946395, 0.0037031539149887456, 0.003358420812042132, 0.0036601061174643267]","[0.0034504770355127455, 0.003508286810074926, 0.0031164985905387257, 0.004355532951779329, 0.0023007007448809422]"
LINK,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","[0.006999676117363443, 0.006069177814370622, 0.004583134374481775, 0.0040489998300550275, 0.004565399392820426]","[0.003994709692850099, 0.004778426235709573, 0.003373863561605408, 0.005543908381146298, 0.002728935776056501]"
ETC,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","[0.007141077069740695, 0.0061463295831563, 0.004852776965158141, 0.004415338733129646, 0.0046387027761256175]","[0.004667377909681382, 0.004422918437066214, 0.004155719852641343, 0.005337470038669296, 0.002981808648623687]"
XLM,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.005403698697453478, 0.005019723997769185, 0.004186233213460705, 0.004043329861633834, 0.004262283280534224]","[0.004191552560515436, 0.004263721320142068, 0.0036747157042439967, 0.0048484128172166015, 0.003851984794021861]"
LTC,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","[0.006425232292382531, 0.005347927116957746, 0.004107799275760982, 0.0035337661777816044, 0.003959797102288493]","[0.0035296362443558403, 0.0038758709882158065, 0.003195791300773166, 0.004807729017876504, 0.0026824802127800736]"
