time,log returns
2021-06-21,0.0006752054484138347
2021-06-22,0.003670733717781997
2021-06-23,0.003670733717781997
2021-06-24,0.003179203862845645
2021-06-25,0.0006752054484138347
2021-06-26,0.003670733717781997
2021-06-27,0.003179203862845645
2021-06-28,0.0006752054484138347
2021-06-29,0.0006752054484138347
2021-06-30,0.003179203862845645
2021-07-01,0.0006752054484138347
2021-07-02,0.003670733717781997
2021-07-03,0.0006752054484138347
2021-07-04,0.0006752054484138347
2021-07-05,0.0006752054484138347
2021-07-06,0.003179203862845645
2021-07-07,0.003670733717781997
2021-07-08,0.0006752054484138347
2021-07-09,0.003670733717781997
2021-07-10,0.0006752054484138347
2021-07-11,0.003179203862845645
2021-07-12,0.003179203862845645
2021-07-13,0.003670733717781997
2021-07-14,0.003670733717781997
2021-07-15,0.003670733717781997
2021-07-16,0.003179203862845645
2021-07-17,0.003670733717781997
2021-07-18,0.003179203862845645
2021-07-19,0.003179203862845645
2021-07-20,0.003670733717781997
2021-07-21,0.003670733717781997
2021-07-22,0.0006752054484138347
2021-07-23,0.0006752054484138347
2021-07-24,0.003179203862845645
2021-07-25,0.003179203862845645
2021-07-26,0.0006752054484138347
2021-07-27,0.0006752054484138347
