date,close
2021-03-23,26.7813
2021-03-24,24.8684
2021-03-25,25.535
2021-03-26,27.3927
2021-03-27,26.8766
2021-03-28,26.6588
2021-03-29,28.0357
2021-03-30,27.8301
2021-03-31,29.4167
2021-04-01,30.0684
2021-04-02,32.4864
2021-04-03,29.293
2021-04-04,30.7471
2021-04-05,32.3791
2021-04-06,34.725
2021-04-07,31.109
2021-04-08,32.7884
2021-04-09,31.5893
2021-04-10,31.8944
2021-04-11,33.8811
2021-04-12,33.108
2021-04-13,35.5217
2021-04-14,41.3641
2021-04-15,42.5601
2021-04-16,41.9861
2021-04-17,39.9137
2021-04-18,39.0799
2021-04-19,35.7359
2021-04-20,38.9954
2021-04-21,36.2274
2021-04-22,35.1306
2021-04-23,35.2121
2021-04-24,31.2443
2021-04-25,31.692
2021-04-26,35.13
2021-04-27,36.788
2021-04-28,36.233
2021-04-29,36.467
2021-04-30,38.1
2021-05-01,41.257
2021-05-02,39.461
2021-05-03,42.052
2021-05-04,45.527
2021-05-05,49.575
2021-05-06,47.154
2021-05-07,49.129
2021-05-08,48.597
2021-05-09,52.269
2021-05-10,46.334
2021-05-11,48.826
2021-05-12,41.622
2021-05-13,43.287
2021-05-14,46.567
2021-05-15,41.492
2021-05-16,40.67
2021-05-17,37.177
2021-05-18,42.566
2021-05-19,26.227
2021-05-20,30.606
2021-05-21,25.546
2021-05-22,23.296
2021-05-23,19.844
2021-05-24,26.412
2021-05-25,27.503
2021-05-26,34.018
2021-05-27,31.732
2021-05-28,27.878
2021-05-29,25.365
2021-05-30,26.818
2021-05-31,32.098
2021-06-01,30.719
2021-06-02,30.67
2021-06-03,32.198
2021-06-04,28.826
2021-06-05,27.129
2021-06-06,27.532
2021-06-07,24.584
2021-06-08,24.076
2021-06-09,25.585
2021-06-10,23.114
2021-06-11,21.478
2021-06-12,21.67
2021-06-13,23.312
2021-06-14,24.973
2021-06-15,24.482
2021-06-16,23.044
2021-06-17,23.396
2021-06-18,21.233
2021-06-19,20.246
2021-06-20,21.646
2021-06-21,17.365
2021-06-22,16.85
2021-06-23,18.395
2021-06-24,19.06
2021-06-25,16.87
2021-06-26,16.952
2021-06-27,18.406
2021-06-28,18.83
2021-06-29,19.535
2021-06-30,19.516
2021-07-01,18.186
2021-07-02,18.274
2021-07-03,18.543
2021-07-04,19.242
2021-07-05,18.362
2021-07-06,20.073
2021-07-07,19.788
2021-07-08,18.353
2021-07-09,18.656
2021-07-10,18.204
2021-07-11,18.383
2021-07-12,17.518
2021-07-13,16.87
2021-07-14,16.936
2021-07-15,15.764
2021-07-16,15.234
2021-07-17,15.352
2021-07-18,15.47
2021-07-19,14.528
2021-07-20,13.742
2021-07-21,15.297
2021-07-22,16.071
2021-07-23,16.502
2021-07-24,16.683
2021-07-25,16.746
2021-07-26,18.028
2021-07-27,19.489
2021-07-28,19.109
2021-07-29,19.37
2021-07-30,22.269
2021-07-31,22.713
2021-08-01,22.062
2021-08-02,23.472
2021-08-03,23.942
2021-08-04,24.193
2021-08-05,24.057
2021-08-06,23.89
2021-08-07,24.694
2021-08-08,23.029
2021-08-09,24.197
2021-08-10,24.537
2021-08-11,25.906
2021-08-12,24.944
2021-08-13,27.748
2021-08-14,27.144
2021-08-15,27.901
2021-08-16,27.944
2021-08-17,26.146
2021-08-18,25.341
2021-08-19,27.096
2021-08-20,28.678
2021-08-21,27.844
2021-08-22,27.982
2021-08-23,28.552
2021-08-24,25.728
2021-08-25,26.612
2021-08-26,24.39
2021-08-27,26.04
2021-08-28,25.73
2021-08-29,25.76
2021-08-30,25.04
2021-08-31,26.7
2021-09-01,29.72
2021-09-02,29.95
2021-09-03,30.75
2021-09-04,29.88
2021-09-05,33.55
2021-09-06,34.81
2021-09-07,28.26
2021-09-08,27.16
2021-09-09,28.01
2021-09-10,26.39
2021-09-11,26.99
2021-09-12,29.42
2021-09-13,26.96
2021-09-14,30.8
2021-09-15,30.67
2021-09-16,29.8
2021-09-17,27.72
2021-09-18,28.39
2021-09-19,27.36
2021-09-20,23.57
2021-09-21,21.42
2021-09-22,24.45
2021-09-23,25.41
2021-09-24,23.26
2021-09-25,24.51
2021-09-26,24.6
2021-09-27,23.01
2021-09-28,22.1
2021-09-29,22.85
2021-09-30,24.0
2021-10-01,26.31
2021-10-02,26.89
2021-10-03,27.57
2021-10-04,26.6
2021-10-05,27.23
2021-10-06,26.8
2021-10-07,26.83
2021-10-08,26.39
2021-10-09,27.45
2021-10-10,25.56
2021-10-11,25.22
2021-10-12,24.65
2021-10-13,25.66
2021-10-14,26.72
2021-10-15,27.01
2021-10-16,27.23
2021-10-17,26.54
2021-10-18,25.71
2021-10-19,25.91
2021-10-20,27.49
2021-10-21,28.26
2021-10-22,28.67
2021-10-23,31.36
2021-10-24,29.7
2021-10-25,32.38
2021-10-26,32.52
2021-10-27,28.88
2021-10-28,30.19
2021-10-29,30.96
2021-10-30,29.79
2021-10-31,30.0
2021-11-01,31.66
2021-11-02,32.26
2021-11-03,31.96
2021-11-04,31.0
2021-11-05,32.86
2021-11-06,32.05
2021-11-07,32.34
2021-11-08,34.46
2021-11-09,33.82
2021-11-10,34.21
2021-11-11,34.69
2021-11-12,34.26
2021-11-13,34.0
2021-11-14,33.75
2021-11-15,32.04
2021-11-16,29.16
2021-11-17,29.18
2021-11-18,26.55
2021-11-19,28.27
2021-11-20,28.36
2021-11-21,28.98
2021-11-22,26.77
2021-11-23,26.94
2021-11-24,25.58
2021-11-25,26.41
2021-11-26,23.96
2021-11-27,24.1
2021-11-28,24.76
2021-11-29,24.99
2021-11-30,25.31
2021-12-01,25.32
