time,log returns
2021-07-31,0.007665837397015984
2021-08-01,0.029707675071030337
2021-08-02,0.0
2021-08-03,0.0
2021-08-04,-0.029707675071030337
2021-08-05,0.029707675071030337
2021-08-06,-0.0060710932076668556
2021-08-07,0.04096883705311338
2021-08-08,0.0652899942534293
2021-08-09,-0.0652899942534293
2021-08-10,0.005899905771721947
2021-08-11,0.05939008848170735
2021-08-12,0.0
2021-08-13,0.0
2021-08-14,0.05664822840122863
2021-08-15,0.047813405175133994
2021-08-16,0.0
2021-08-17,0.0
2021-08-18,0.0
2021-08-19,0.14130931785255907
2021-08-20,0.06287409095446783
2021-08-21,0.010750640365019493
2021-08-22,0.09323723459114364
2021-08-23,0.016503113382746015
2021-08-24,0.04487510892992974
2021-08-25,0.0
2021-08-26,0.0
2021-08-27,-0.09597924239605327
2021-08-28,0.08857189075841809
2021-08-29,-0.028855968058647985
2021-08-30,0.04449874856526259
2021-08-31,0.0
2021-09-01,-0.0013566995592855235
2021-09-02,-0.005512671603592256
2021-09-03,0.00686937116287778
2021-09-04,0.0
2021-09-05,0.0
2021-09-06,0.0
2021-09-07,0.0
2021-09-08,0.0
2021-09-09,0.0
2021-09-10,0.0
2021-09-11,0.0
2021-09-12,0.0
2021-09-13,0.0
2021-09-14,0.0
2021-09-15,0.0
2021-09-16,0.0
2021-09-17,0.0
2021-09-18,0.0
2021-09-19,0.0
2021-09-20,0.0
2021-09-21,0.0
2021-09-22,0.0
2021-09-23,0.0
2021-09-24,0.0
2021-09-25,0.0
2021-09-26,0.0
2021-09-27,0.0
2021-09-28,0.0
2021-09-29,0.0
2021-09-30,0.0
2021-10-01,0.0
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,0.0
2021-10-09,0.0
2021-10-10,0.0
2021-10-11,0.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,0.0
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,0.0
2021-10-29,0.0
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,0.0
2021-11-30,0.0
2021-12-01,0.0
