time,close
2023-04-10 00:00:00,11.016534
2023-04-10 00:15:00,11.049067
2023-04-10 00:30:00,11.049067
2023-04-10 00:45:00,11.053991
2023-04-10 01:00:00,11.010554
2023-04-10 01:15:00,10.995125
2023-04-10 01:30:00,10.948105
2023-04-10 01:45:00,10.924737
2023-04-10 02:00:00,10.94967
2023-04-10 02:15:00,10.924737
2023-04-10 02:30:00,10.950102
2023-04-10 02:45:00,10.9492445
2023-04-10 03:00:00,10.960352
2023-04-10 03:15:00,10.955438
2023-04-10 03:30:00,10.982875
2023-04-10 03:45:00,10.998995
2023-04-10 04:00:00,10.998995
2023-04-10 04:15:00,10.995439
2023-04-10 04:30:00,10.995439
2023-04-10 04:45:00,10.995439
2023-04-10 05:00:00,10.995439
2023-04-10 05:15:00,10.968001
2023-04-10 05:30:00,10.984681
2023-04-10 05:45:00,11.017285
2023-04-10 06:00:00,11.017285
2023-04-10 06:15:00,11.017285
2023-04-10 06:30:00,11.021768
2023-04-10 06:45:00,11.021768
2023-04-10 07:00:00,11.021768
2023-04-10 07:15:00,11.021768
2023-04-10 07:30:00,11.016534
2023-04-10 07:45:00,11.016534
2023-04-10 08:00:00,11.016534
2023-04-10 08:15:00,11.053991
2023-04-10 08:30:00,11.059003
2023-04-10 08:45:00,11.060809
2023-04-10 09:00:00,11.055798
2023-04-10 09:15:00,11.049067
2023-04-10 09:30:00,11.049067
2023-04-10 09:45:00,11.049067
2023-04-10 10:00:00,11.011609
2023-04-10 10:15:00,11.016534
2023-04-10 10:30:00,11.016534
2023-04-10 10:45:00,11.016534
2023-04-10 11:00:00,11.016534
2023-04-10 11:15:00,11.016534
2023-04-10 11:30:00,11.016534
2023-04-10 11:45:00,11.016534
2023-04-10 12:00:00,11.009286
2023-04-10 12:15:00,11.003477
2023-04-10 12:30:00,10.992802
2023-04-10 12:45:00,11.003909
2023-04-10 13:00:00,11.003909
2023-04-10 13:15:00,11.020393
2023-04-10 13:30:00,10.998995
2023-04-10 13:45:00,10.971558
2023-04-10 14:00:00,10.955438
2023-04-10 14:15:00,10.955438
2023-04-10 14:30:00,10.955438
2023-04-10 14:45:00,10.955438
2023-04-10 15:00:00,10.955438
2023-04-10 15:15:00,10.999359
2023-04-10 15:30:00,11.015479
2023-04-10 15:45:00,11.019961
2023-04-10 16:00:00,11.019961
2023-04-10 16:15:00,11.003477
2023-04-10 16:30:00,11.015479
2023-04-10 16:45:00,11.015479
2023-04-10 17:00:00,11.073354
2023-04-10 17:15:00,11.083549
2023-04-10 17:30:00,11.159016
2023-04-10 17:45:00,11.159016
2023-04-10 18:00:00,11.146609
2023-04-10 18:15:00,11.072948
2023-04-10 18:30:00,11.155588
2023-04-10 18:45:00,11.085355
2023-04-10 19:00:00,11.153782
2023-04-10 19:15:00,11.153782
2023-04-10 19:30:00,11.141376
2023-04-10 19:45:00,11.076301
2023-04-10 20:00:00,11.083549
2023-04-10 20:15:00,11.083549
2023-04-10 20:30:00,11.062254
2023-04-10 20:45:00,11.046743
2023-04-10 21:00:00,11.051755
2023-04-10 21:15:00,11.040211
2023-04-10 21:30:00,11.078268
2023-04-10 21:45:00,11.082483
2023-04-10 22:00:00,11.087408
2023-04-10 22:15:00,11.152727
2023-04-10 22:30:00,11.152727
2023-04-10 22:45:00,11.140321
2023-04-10 23:00:00,11.140321
2023-04-10 23:15:00,11.140321
2023-04-10 23:30:00,11.140321
2023-04-10 23:45:00,11.140321
2023-04-11 00:00:00,11.140321
2023-04-11 00:15:00,11.140321
2023-04-11 00:30:00,11.140321
2023-04-11 00:45:00,11.070087
2023-04-11 01:00:00,11.152727
2023-04-11 01:15:00,11.140321
2023-04-11 01:30:00,11.140321
2023-04-11 01:45:00,11.140321
2023-04-11 02:00:00,11.140321
2023-04-11 02:15:00,11.13252
2023-04-11 02:30:00,11.13252
2023-04-11 02:45:00,11.13252
2023-04-11 03:00:00,11.13252
2023-04-11 03:15:00,11.13252
2023-04-11 03:30:00,11.13252
2023-04-11 03:45:00,11.13252
2023-04-11 04:00:00,11.140321
2023-04-11 04:15:00,11.140321
2023-04-11 04:30:00,11.13252
2023-04-11 04:45:00,11.13252
2023-04-11 05:00:00,11.188226
2023-04-11 05:15:00,11.188226
2023-04-11 05:30:00,11.2979555
2023-04-11 05:45:00,11.2422495
2023-04-11 06:00:00,11.2422495
2023-04-11 06:15:00,11.13252
2023-04-11 06:30:00,11.13252
2023-04-11 06:45:00,11.13252
2023-04-11 07:00:00,11.2422495
