time,log returns
2021-07-28,-0.0043863207
2021-07-29,0.010053284
2021-07-30,0.01326328
2021-07-31,-0.00042421557
2021-08-01,0.0035022504
2021-08-02,-0.014021822
2021-08-03,0.01326328
2021-08-04,-0.008016737
2021-08-05,0.015827395
2021-08-06,0.01326328
2021-08-07,-0.00042421557
2021-08-08,0.2368818
2021-08-09,0.0474106
2021-08-10,0.044017114
2021-08-11,0.0010102438
2021-08-12,0.015827395
2021-08-13,0.01326328
2021-08-14,-0.013273848
2021-08-15,0.015827395
2021-08-16,-0.06881942
2021-08-17,-0.033706713
2021-08-18,0.0006221706
2021-08-19,-0.00042421557
2021-08-20,-0.0027072376
2021-08-21,0.015827395
2021-08-22,-0.008016737
2021-08-23,0.0035022504
2021-08-24,-0.0043863207
2021-08-25,0.004886037
2021-08-26,-0.00042421557
2021-08-27,-0.052653305
2021-08-28,0.015707403
2021-08-29,-0.008016737
2021-08-30,-0.08001755
2021-08-31,-0.008016737
2021-09-01,0.015827395
2021-09-02,0.0084094005
2021-09-03,0.0010102438
2021-09-04,0.0010102438
2021-09-05,-0.0043863207
2021-09-06,0.0084094005
2021-09-07,-0.014021822
2021-09-08,0.13265352
2021-09-09,0.0010102438
2021-09-10,-0.014021822
2021-09-11,-0.040334534
2021-09-12,0.0010102438
2021-09-13,-0.0027072376
2021-09-14,-0.033706713
2021-09-15,0.015827395
2021-09-16,0.015827395
2021-09-17,-0.066070706
2021-09-18,0.0035022504
2021-09-19,0.0010102438
2021-09-20,-0.008016737
2021-09-21,0.017851181
2021-09-22,-0.017549584
2021-09-23,0.019490073
2021-09-24,0.0010102438
2021-09-25,0.014062871
2021-09-26,0.01326328
2021-09-27,-0.014021822
2021-09-28,-0.023080302
2021-09-29,-0.014021822
2021-09-30,-0.0043863207
2021-10-01,0.015827395
2021-10-02,-0.021756588
2021-10-03,-0.002111947
2021-10-04,-0.00042421557
2021-10-05,-0.013273848
2021-10-06,-0.0027072376
2021-10-07,-0.0043863207
2021-10-08,-0.010738129
2021-10-09,0.0010102438
2021-10-10,-0.0043863207
2021-10-11,0.014062871
2021-10-12,-0.0043863207
2021-10-13,-0.002111947
2021-10-14,0.015827395
2021-10-15,0.010053284
2021-10-16,0.0010102438
2021-10-17,-0.00042421557
2021-10-18,0.0010102438
2021-10-19,-0.0027072376
2021-10-20,0.0035022504
2021-10-21,-0.0027072376
2021-10-22,0.014732512
2021-10-23,0.0010102438
2021-10-24,0.015827395
2021-10-25,0.015707403
2021-10-26,-0.017549584
2021-10-27,-0.008016737
2021-10-28,0.014062871
2021-10-29,-0.38258168
2021-10-30,-0.0039062416
2021-10-31,0.0006221706
2021-11-01,-0.0027072376
2021-11-02,-0.008016737
2021-11-03,0.0010102438
2021-11-04,-0.002111947
2021-11-05,-0.002111947
2021-11-06,0.0035022504
2021-11-07,0.0010102438
2021-11-08,-0.00042421557
2021-11-09,0.0084094005
2021-11-10,-0.008016737
2021-11-11,0.0006221706
2021-11-12,0.015827395
2021-11-13,0.01326328
2021-11-14,0.0010102438
2021-11-15,0.0010102438
2021-11-16,-0.082353175
2021-11-17,-0.052653305
2021-11-18,0.0010102438
2021-11-19,0.014062871
2021-11-20,0.0084094005
2021-11-21,0.0010102438
2021-11-22,-0.008016737
2021-11-23,-0.023080302
2021-11-24,0.02100162
2021-11-25,0.0035664036
2021-11-26,-0.00042421557
2021-11-27,0.027448578
2021-11-28,-0.00042421557
