time,log returns
2021-07-31,0.0
2021-08-01,0.02761180192468693
2021-08-02,-0.002997352839872125
2021-08-03,0.002997352839872125
2021-08-04,0.049656409196655815
2021-08-05,0.03828374968347292
2021-08-06,0.04554753285275126
2021-08-07,0.0
2021-08-08,0.0
2021-08-09,0.0
2021-08-10,0.0
2021-08-11,0.0
2021-08-12,0.11487837423993463
2021-08-13,0.0376368255944004
2021-08-14,6.663465704548344e-06
2021-08-15,0.1412422132682889
2021-08-16,0.07097735263781457
2021-08-17,-0.12055897145088634
2021-08-18,-0.08044669174574048
2021-08-19,0.0
2021-08-20,0.0
2021-08-21,0.0
2021-08-22,0.0
2021-08-23,0.0
2021-08-24,6.889168703061443e-05
2021-08-25,0.0
2021-08-26,0.0
2021-08-27,0.0
2021-08-28,0.0
2021-08-29,0.0
2021-08-30,0.0
2021-08-31,0.0
2021-09-01,0.0
2021-09-02,0.13000253185711763
2021-09-03,0.07093423965247858
2021-09-04,0.0
2021-09-05,0.0
2021-09-06,0.0
2021-09-07,0.0
2021-09-08,-0.12054070824008756
2021-09-09,0.049606468587608976
2021-09-10,0.07093423965247858
2021-09-11,-0.12054070824008756
2021-09-12,0.049606468587608976
2021-09-13,0.07093423965247858
2021-09-14,0.0
2021-09-15,0.0
2021-09-16,0.0
2021-09-17,0.0
2021-09-18,0.0
2021-09-19,0.0
2021-09-20,0.0
2021-09-21,0.0
2021-09-22,-0.12054070824008756
2021-09-23,0.049606468587608976
2021-09-24,0.07093423965247858
2021-09-25,0.0
2021-09-26,-0.12054070824008756
2021-09-27,-0.08039606326950866
2021-09-28,0.0
2021-09-29,0.0
2021-09-30,0.0
2021-10-01,0.0
2021-10-02,0.13000253185711763
2021-10-03,0.07093423965247858
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,0.0
2021-10-09,0.0
2021-10-10,0.0
2021-10-11,0.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,0.0
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,-0.12054070824008756
2021-10-29,0.049606468587608976
2021-10-30,0.07093423965247858
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,0.0
2021-11-30,0.0
2021-12-01,0.0
